Latin Name	Family	Order	Taxonomy 1	Taxonomy 2	Taxonomy 3
Pistacia_vera	Anacardiaceae	Sapindales	Malvids	Rosids	Eudicots
Sclerocarya_birrea	Anacardiaceae	Sapindales	Malvids	Rosids	Eudicots
Acer_yangbiense	Sapindaceae	Sapindales	Malvids	Rosids	Eudicots
Acer_pseudosieboldianum	Sapindaceae	Sapindales	Malvids	Rosids	Eudicots
Aesculus_chinensis	Sapindaceae	Sapindales	Malvids	Rosids	Eudicots
Xanthoceras_sorbifolium	Sapindaceae	Sapindales	Malvids	Rosids	Eudicots
Nephelium_lappaceum	Sapindaceae	Sapindales	Malvids	Rosids	Eudicots
Dimocarpus_longan	Sapindaceae	Sapindales	Malvids	Rosids	Eudicots
Litchi_chinensis	Sapindaceae	Sapindales	Malvids	Rosids	Eudicots
Sapindus_mukorossi	Sapindaceae	Sapindales	Malvids	Rosids	Eudicots
Isatis_indigotica	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Brassica_rapa	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Brassica_napus	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Brassica_oleracea	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Raphanus_sativus	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Eruca_sativa	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Sinapis_alba	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Orychophragmus_violaceus	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Schrenkiella_parvula	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Thellungiella_parvula	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Thlaspi_arvense	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Eutrema_salsugineum	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Microthlaspi_erraticum	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Megacarpaea_delavayi	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Lobularia_maritima	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Draba_nivalis	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Arabis_alpina	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Megadenia_pygmaea	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Boechera_stricta	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Camelina_sativa	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Capsella_rubella	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Arabidopsis_lyrata	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Arabidopsis_thaliana	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Erysimum_cheiranthoides	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Lepidium_sativum	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Cardamine_hirsuta	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Aethionema_arabicum	Brassicaceae	Brassicales	Malvids	Rosids	Eudicots
Cleome_violacea	Cleomaceae	Brassicales	Malvids	Rosids	Eudicots
Tarenaya_hassleriana	Cleomaceae	Brassicales	Malvids	Rosids	Eudicots
Capparis_spinosa	Capparaceae	Brassicales	Malvids	Rosids	Eudicots
Bretschneidera_sinensis	Akaniaceae	Brassicales	Malvids	Rosids	Eudicots
Carica_papaya	Caricaceae	Brassicales	Malvids	Rosids	Eudicots
Moringa_oleifera	Moringaceae	Brassicales	Malvids	Rosids	Eudicots
Stellera_chamaejasme	Thymelaeaceae	Malvales	Malvids	Rosids	Eudicots
Aquilaria_sinensis	Thymelaeaceae	Malvales	Malvids	Rosids	Eudicots
Shorea_leprosula	Dipterocarpaceae	Malvales	Malvids	Rosids	Eudicots
Corchorus_capsularis	Malvaceae	Malvales	Malvids	Rosids	Eudicots
Theobroma_cacao	Malvaceae	Malvales	Malvids	Rosids	Eudicots
Durio_zibethinus	Malvaceae	Malvales	Malvids	Rosids	Eudicots
Heritiera_littoralis	Malvaceae	Malvales	Malvids	Rosids	Eudicots
Ochroma_pyramidale	Malvaceae	Malvales	Malvids	Rosids	Eudicots
Bombax_ceiba	Malvaceae	Malvales	Malvids	Rosids	Eudicots
Gossypium_hirsutum	Malvaceae	Malvales	Malvids	Rosids	Eudicots
Gossypium_barbadense	Malvaceae	Malvales	Malvids	Rosids	Eudicots
Gossypium_raimondii	Malvaceae	Malvales	Malvids	Rosids	Eudicots
Hibiscus_cannabinus	Malvaceae	Malvales	Malvids	Rosids	Eudicots
Abelmoschus_esculentus	Malvaceae	Malvales	Malvids	Rosids	Eudicots
